commodity,report_begin_date,average_price
Blackberries,10/20/2021,25.875
Blackberries,10/20/2021,37.5
Blackberries,10/20/2021,27
Blueberries,10/20/2021,29
Blueberries,10/20/2021,27.875
Raspberries,10/19/2021,30.75
Raspberries,10/19/2021,42
Strawberries,10/19/2021,32.625
Strawberries,10/19/2021,20.75
Strawberries,10/19/2021,14
Blackberries,10/19/2021,37.5
Blackberries,10/19/2021,27
Blackberries,10/19/2021,25.875
Blueberries,10/19/2021,29
Blueberries,10/19/2021,27.875
Raspberries,10/18/2021,30.75
Raspberries,10/18/2021,42
Strawberries,10/18/2021,20.75
Strawberries,10/18/2021,14
Strawberries,10/18/2021,32.625
Blackberries,10/18/2021,37.5
Blackberries,10/18/2021,25.375
Blackberries,10/18/2021,26.5
Blueberries,10/18/2021,29
Blueberries,10/18/2021,27.875
Raspberries,10/15/2021,42
Raspberries,10/15/2021,30.75
Strawberries,10/15/2021,32.625
Strawberries,10/15/2021,14
Strawberries,10/15/2021,20.75
Blackberries,10/15/2021,25.375
Blackberries,10/15/2021,26.5
Blackberries,10/15/2021,37.5
Blackberries,10/15/2021,9
Blueberries,10/15/2021,51
Blueberries,10/15/2021,45.75
Blueberries,10/15/2021,46.5
Blueberries,10/15/2021,27.875
Raspberries,10/14/2021,42
Raspberries,10/14/2021,30.75
Strawberries,10/14/2021,14
Strawberries,10/14/2021,20.75
Strawberries,10/14/2021,32.625
Blackberries,10/14/2021,25.375
Blackberries,10/14/2021,26.5
Blackberries,10/14/2021,9
Blackberries,10/14/2021,37.5
Blueberries,10/14/2021,51
Blueberries,10/14/2021,45.75
Blueberries,10/14/2021,46.5
Blueberries,10/14/2021,27.875
Raspberries,10/13/2021,42
Raspberries,10/13/2021,30.75
Strawberries,10/13/2021,32.625
Strawberries,10/13/2021,20.75
Strawberries,10/13/2021,14
Blackberries,10/13/2021,25.375
Blackberries,10/13/2021,37.5
Blueberries,10/13/2021,46.5
Blueberries,10/13/2021,45.75
Blueberries,10/13/2021,51
Blueberries,10/13/2021,27.875
Raspberries,10/12/2021,42
Raspberries,10/12/2021,30.75
Strawberries,10/12/2021,21.125
Strawberries,10/12/2021,32.625
Strawberries,10/12/2021,14
Blackberries,10/12/2021,25.375
Blackberries,10/12/2021,37.5
Blueberries,10/12/2021,51
Blueberries,10/12/2021,46.5
Blueberries,10/12/2021,45.75
Blueberries,10/12/2021,27.875
Raspberries,10/08/2021,42
Raspberries,10/08/2021,31
Strawberries,10/08/2021,19.625
Strawberries,10/08/2021,32.75
Strawberries,10/08/2021,14
Blackberries,10/08/2021,37.5
Blackberries,10/08/2021,25.125
Blueberries,10/08/2021,46.5
Blueberries,10/08/2021,45.75
Blueberries,10/08/2021,51
Blueberries,10/08/2021,28
Raspberries,10/07/2021,31
Raspberries,10/07/2021,42
Strawberries,10/07/2021,19.375
Strawberries,10/07/2021,14
Strawberries,10/07/2021,32.75
Blackberries,10/07/2021,25.125
Blackberries,10/07/2021,37.5
Blueberries,10/07/2021,51
Blueberries,10/07/2021,46
Blueberries,10/07/2021,46.5
Blueberries,10/07/2021,28
Raspberries,10/06/2021,42
Raspberries,10/06/2021,31
Strawberries,10/06/2021,32.75
Strawberries,10/06/2021,19.375
Strawberries,10/06/2021,14
Blackberries,10/06/2021,37.5
Blackberries,10/06/2021,25.125
Blueberries,10/06/2021,51
Blueberries,10/06/2021,46.5
Blueberries,10/06/2021,46
Blueberries,10/06/2021,28
Raspberries,10/05/2021,31
Raspberries,10/05/2021,42
Strawberries,10/05/2021,19.375
Strawberries,10/05/2021,14
Strawberries,10/05/2021,32.75
Blackberries,10/05/2021,25.125
Blackberries,10/05/2021,37
Blueberries,10/05/2021,46.5
Blueberries,10/05/2021,46
Blueberries,10/05/2021,51
Blueberries,10/05/2021,30
Raspberries,10/04/2021,42
Raspberries,10/04/2021,31
Strawberries,10/04/2021,19.375
Strawberries,10/04/2021,32.75
Strawberries,10/04/2021,14
Blackberries,10/04/2021,37
Blackberries,10/04/2021,25.125
Blueberries,10/04/2021,46
Blueberries,10/04/2021,51
Blueberries,10/04/2021,30
Raspberries,10/01/2021,42
Raspberries,10/01/2021,31
Strawberries,10/01/2021,14
Strawberries,10/01/2021,19.375
Strawberries,10/01/2021,31.75
Blackberries,10/01/2021,25.125
Blackberries,10/01/2021,30.375
Blueberries,10/01/2021,51.125
Blueberries,10/01/2021,46
Blueberries,10/01/2021,30
Raspberries,09/30/2021,42
Raspberries,09/30/2021,31
Strawberries,09/30/2021,32
Strawberries,09/30/2021,14
Strawberries,09/30/2021,19.375
Blackberries,09/30/2021,28.5
Blackberries,09/30/2021,25.125
Blueberries,09/30/2021,46
Blueberries,09/30/2021,51.125
Blueberries,09/30/2021,30
Raspberries,09/29/2021,31
Raspberries,09/29/2021,42
Strawberries,09/29/2021,19.375
Strawberries,09/29/2021,32
Strawberries,09/29/2021,14
Blackberries,09/29/2021,28.5
Blackberries,09/29/2021,25.125
Blueberries,09/29/2021,51.125
Blueberries,09/29/2021,46
Blueberries,09/29/2021,30
Raspberries,09/28/2021,31.5
Raspberries,09/28/2021,42
Strawberries,09/28/2021,32
Strawberries,09/28/2021,19.375
Strawberries,09/28/2021,14
Blackberries,09/28/2021,28.5
Blackberries,09/28/2021,25.125
Blueberries,09/28/2021,51.125
Blueberries,09/28/2021,46
Blueberries,09/28/2021,30
Raspberries,09/27/2021,42
Raspberries,09/27/2021,31.5
Strawberries,09/27/2021,19.875
Strawberries,09/27/2021,14
Strawberries,09/27/2021,32
Blackberries,09/27/2021,25.125
Blackberries,09/27/2021,28.5
Blueberries,09/27/2021,46
Blueberries,09/27/2021,51.625
Blueberries,09/27/2021,30
Raspberries,09/24/2021,31.5
Raspberries,09/24/2021,42
Strawberries,09/24/2021,19.875
Strawberries,09/24/2021,32
Strawberries,09/24/2021,14.5
Blackberries,09/24/2021,25.125
Blackberries,09/24/2021,28.5
Blueberries,09/24/2021,51.625
Blueberries,09/24/2021,46
Blueberries,09/24/2021,30
Raspberries,09/23/2021,42
Raspberries,09/23/2021,31.5
Strawberries,09/23/2021,14.5
Strawberries,09/23/2021,19.875
Strawberries,09/23/2021,32
Blackberries,09/23/2021,25.125
Blackberries,09/23/2021,28.5
Blueberries,09/23/2021,51.625
Blueberries,09/23/2021,46
Blueberries,09/23/2021,30
Raspberries,09/22/2021,31.5
Raspberries,09/22/2021,42
Strawberries,09/22/2021,19.875
Strawberries,09/22/2021,14.5
Strawberries,09/22/2021,32
Blackberries,09/22/2021,28.5
Blackberries,09/22/2021,11.5
Blackberries,09/22/2021,25.125
Blueberries,09/22/2021,51
Blueberries,09/22/2021,46
Blueberries,09/22/2021,33.25
Raspberries,09/21/2021,42
Raspberries,09/21/2021,31.5
Strawberries,09/21/2021,32
Strawberries,09/21/2021,19.875
Strawberries,09/21/2021,14.5
Blackberries,09/21/2021,25.125
Blackberries,09/21/2021,11.5
Blackberries,09/21/2021,28.5
Blueberries,09/21/2021,44.5
Blueberries,09/21/2021,52.75
Blueberries,09/21/2021,33.25
Raspberries,09/20/2021,31.5
Raspberries,09/20/2021,42
Strawberries,09/20/2021,32
Strawberries,09/20/2021,19.875
Strawberries,09/20/2021,14.5
Blackberries,09/20/2021,27
Blackberries,09/20/2021,11.5
Blackberries,09/20/2021,25.125
Blueberries,09/20/2021,52.75
Blueberries,09/20/2021,44.5
Blueberries,09/20/2021,33.25
Raspberries,09/17/2021,41
Raspberries,09/17/2021,28.25
Strawberries,09/17/2021,14.5
Strawberries,09/17/2021,21.25
Strawberries,09/17/2021,34.5
Blackberries,09/17/2021,11.5
Blackberries,09/17/2021,25.125
Blackberries,09/17/2021,28.375
Blueberries,09/17/2021,55.375
Blueberries,09/17/2021,44.5
Raspberries,09/16/2021,28.25
Raspberries,09/16/2021,41
Strawberries,09/16/2021,14.5
Strawberries,09/16/2021,34.5
Strawberries,09/16/2021,21.5
Blackberries,09/16/2021,28.375
Blackberries,09/16/2021,25.125
Blackberries,09/16/2021,11.5
Blueberries,09/16/2021,55.375
Blueberries,09/16/2021,44.5
Raspberries,09/15/2021,28.25
Raspberries,09/15/2021,30.625
Strawberries,09/15/2021,34.5
Strawberries,09/15/2021,21.5
Strawberries,09/15/2021,14.5
Blackberries,09/15/2021,27.125
Blackberries,09/15/2021,11.5
Blackberries,09/15/2021,28.375
Blueberries,09/15/2021,54.5
Blueberries,09/15/2021,44.5
Raspberries,09/14/2021,28.25
Raspberries,09/14/2021,30.625
Strawberries,09/14/2021,14.5
Strawberries,09/14/2021,21.5
Strawberries,09/14/2021,34.5
Blackberries,09/14/2021,11.5
Blackberries,09/14/2021,27.125
Blackberries,09/14/2021,28.375
Blueberries,09/14/2021,26.125
Blueberries,09/14/2021,33.25
Blueberries,09/14/2021,30.25
Blueberries,09/14/2021,19.25
Raspberries,09/13/2021,30.625
Raspberries,09/13/2021,28.25
Strawberries,09/13/2021,14.5
Strawberries,09/13/2021,21.5
Strawberries,09/13/2021,34.5
Blackberries,09/13/2021,28.375
Blackberries,09/13/2021,11.5
Blackberries,09/13/2021,27.125
Blueberries,09/13/2021,26.125
Blueberries,09/13/2021,33.25
Blueberries,09/13/2021,30.25
Blueberries,09/13/2021,19.25
Raspberries,09/10/2021,28.25
Raspberries,09/10/2021,30.625
Strawberries,09/10/2021,34.5
Strawberries,09/10/2021,14.5
Strawberries,09/10/2021,21.5
Blackberries,09/10/2021,27.125
Blackberries,09/10/2021,11.5
Blackberries,09/10/2021,28.375
Blueberries,09/10/2021,26.125
Blueberries,09/10/2021,33.25
Blueberries,09/10/2021,30.25
Blueberries,09/10/2021,19.25
Raspberries,09/09/2021,30.625
Raspberries,09/09/2021,28.25
Strawberries,09/09/2021,34
Strawberries,09/09/2021,21.5
Strawberries,09/09/2021,14.5
Blackberries,09/09/2021,18.5
Blackberries,09/09/2021,27.125
Blackberries,09/09/2021,28.375
Blueberries,09/09/2021,31.75
Blueberries,09/09/2021,26.125
Blueberries,09/09/2021,#¡DIV/0!
Blueberries,09/09/2021,30.25
Blueberries,09/09/2021,19.25
Raspberries,09/08/2021,30.625
Raspberries,09/08/2021,28.25
Strawberries,09/08/2021,34
Strawberries,09/08/2021,14.5
Strawberries,09/08/2021,21.5
Blackberries,09/08/2021,28.375
Blackberries,09/08/2021,18.5
Blackberries,09/08/2021,27.125
Blueberries,09/08/2021,31.75
Blueberries,09/08/2021,26.125
Blueberries,09/08/2021,#¡DIV/0!
Blueberries,09/08/2021,19.25
Blueberries,09/08/2021,30.25
Blackberries,09/07/2021,27.125
Blackberries,09/07/2021,28.375
Blackberries,09/07/2021,18.5
Raspberries,09/07/2021,30.625
Raspberries,09/07/2021,28.25
Strawberries,09/07/2021,14.5
Strawberries,09/07/2021,21.5
Strawberries,09/07/2021,34
Blueberries,09/07/2021,31.75
Blueberries,09/07/2021,26.125
Blueberries,09/07/2021,19.25
Blueberries,09/07/2021,30.25
Raspberries,09/03/2021,31
Raspberries,09/03/2021,28.5
Strawberries,09/03/2021,21.5
Strawberries,09/03/2021,14.5
Strawberries,09/03/2021,32.375
Blackberries,09/03/2021,28.375
Blackberries,09/03/2021,27.125
Blackberries,09/03/2021,18.5
Blueberries,09/03/2021,26.125
Blueberries,09/03/2021,32.75
Blueberries,09/03/2021,19.25
Blueberries,09/03/2021,30.25
Raspberries,09/02/2021,31
Raspberries,09/02/2021,28.5
Strawberries,09/02/2021,14.5
Strawberries,09/02/2021,21.5
Strawberries,09/02/2021,32.375
Blackberries,09/02/2021,28.375
Blackberries,09/02/2021,27.125
Blackberries,09/02/2021,18.5
Blueberries,09/02/2021,26.125
Blueberries,09/02/2021,32.75
Blueberries,09/02/2021,19.25
Blueberries,09/02/2021,30.25
Blackberries,09/01/2021,28.375
Raspberries,09/01/2021,28.5
Raspberries,09/01/2021,31
Strawberries,09/01/2021,28.375
Strawberries,09/01/2021,21.5
Strawberries,09/01/2021,14.5
Blackberries,09/01/2021,18.5
Blackberries,09/01/2021,27.125
Blueberries,09/01/2021,26.125
Blueberries,09/01/2021,32.75
Blueberries,09/01/2021,19.25
Blueberries,09/01/2021,30.25
Raspberries,08/31/2021,31
Raspberries,08/31/2021,28.5
Strawberries,08/31/2021,28.375
Strawberries,08/31/2021,21.5
Strawberries,08/31/2021,14.5
Blackberries,08/31/2021,27.125
Blackberries,08/31/2021,28.375
Blackberries,08/31/2021,18.5
Blueberries,08/31/2021,26.125
Blueberries,08/31/2021,32.75
Blueberries,08/31/2021,19.25
Blueberries,08/31/2021,30.25
Blackberries,08/30/2021,18.5
Blackberries,08/30/2021,27.125
Blackberries,08/30/2021,28.375
Blueberries,08/30/2021,26.125
Raspberries,08/30/2021,28.5
Raspberries,08/30/2021,31
Strawberries,08/30/2021,14.5
Strawberries,08/30/2021,28.375
Strawberries,08/30/2021,21.5
Blueberries,08/30/2021,32.75
Blueberries,08/30/2021,30.25
Blueberries,08/30/2021,19.25
Blackberries,08/27/2021,27.125
Blackberries,08/27/2021,18.5
Blackberries,08/27/2021,28.375
Blueberries,08/27/2021,26.125
Blueberries,08/27/2021,32.75
Raspberries,08/27/2021,28.5
Raspberries,08/27/2021,31
Strawberries,08/27/2021,28.375
Strawberries,08/27/2021,21.5
Strawberries,08/27/2021,14.5
Blueberries,08/27/2021,30.25
Blueberries,08/27/2021,19.25
Blackberries,08/26/2021,18.5
Blackberries,08/26/2021,28.375
Blackberries,08/26/2021,27.125
Blueberries,08/26/2021,32.75
Raspberries,08/26/2021,39
Raspberries,08/26/2021,28.5
Strawberries,08/26/2021,21.5
Strawberries,08/26/2021,14.75
Strawberries,08/26/2021,28.375
Blueberries,08/26/2021,26.125
Blueberries,08/26/2021,19.25
Blueberries,08/26/2021,30.25
Blackberries,08/25/2021,27.125
Blackberries,08/25/2021,28.375
Blackberries,08/25/2021,18.5
Blueberries,08/25/2021,26.125
Raspberries,08/25/2021,39
Raspberries,08/25/2021,28.5
Strawberries,08/25/2021,21.5
Strawberries,08/25/2021,28.375
Strawberries,08/25/2021,14.75
Blueberries,08/25/2021,32.75
Blueberries,08/25/2021,19.25
Blueberries,08/25/2021,30.25
Blackberries,08/24/2021,27.125
Blackberries,08/24/2021,20
Blackberries,08/24/2021,28.375
Blueberries,08/24/2021,32.625
Blueberries,08/24/2021,26.125
Blueberries,08/24/2021,19.25
Raspberries,08/24/2021,36
Raspberries,08/24/2021,26.5
Strawberries,08/24/2021,14.75
Strawberries,08/24/2021,28.375
Strawberries,08/24/2021,21.5
Blueberries,08/24/2021,30.25
Blackberries,08/23/2021,28.375
Blackberries,08/23/2021,20
Blackberries,08/23/2021,27.125
Blueberries,08/23/2021,31.625
Blueberries,08/23/2021,26.125
Blueberries,08/23/2021,19.25
Raspberries,08/23/2021,36
Raspberries,08/23/2021,26.5
Strawberries,08/23/2021,21.5
Strawberries,08/23/2021,14.75
Strawberries,08/23/2021,28.375
Strawberries,08/23/2021,19
Blackberries,08/20/2021,27.125
Blackberries,08/20/2021,20
Blackberries,08/20/2021,31
Blueberries,08/20/2021,22.625
Blueberries,08/20/2021,31
Blueberries,08/20/2021,18.5
Raspberries,08/20/2021,26.5
Raspberries,08/20/2021,36
Strawberries,08/20/2021,29.75
Strawberries,08/20/2021,14.75
Strawberries,08/20/2021,22.25
Blackberries,08/19/2021,27.125
Blackberries,08/19/2021,20
Blackberries,08/19/2021,31
Blueberries,08/19/2021,31
Blueberries,08/19/2021,22.625
Blueberries,08/19/2021,18.5
Raspberries,08/19/2021,36
Raspberries,08/19/2021,26.5
Strawberries,08/19/2021,29.75
Strawberries,08/19/2021,14.75
Strawberries,08/19/2021,22.25
Blackberries,08/18/2021,27.125
Blackberries,08/18/2021,31
Blackberries,08/18/2021,20
Blueberries,08/18/2021,22.625
Blueberries,08/18/2021,31
Blueberries,08/18/2021,18.5
Raspberries,08/18/2021,36
Raspberries,08/18/2021,26.5
Strawberries,08/18/2021,29.75
Strawberries,08/18/2021,14.75
Strawberries,08/18/2021,22.25
Blackberries,08/17/2021,27.125
Blackberries,08/17/2021,20
Blackberries,08/17/2021,31
Blueberries,08/17/2021,31
Blueberries,08/17/2021,11
Blueberries,08/17/2021,22.625
Blueberries,08/17/2021,9
Blueberries,08/17/2021,18.5
Raspberries,08/17/2021,36
Raspberries,08/17/2021,26.5
Strawberries,08/17/2021,29.75
Strawberries,08/17/2021,14
Strawberries,08/17/2021,22.25
Blackberries,08/16/2021,31
Blackberries,08/16/2021,27.125
Blueberries,08/16/2021,20
Blueberries,08/16/2021,11
Blueberries,08/16/2021,22.625
Blueberries,08/16/2021,18.5
Blueberries,08/16/2021,9
Raspberries,08/16/2021,36
Raspberries,08/16/2021,26.5
Strawberries,08/16/2021,29.75
Strawberries,08/16/2021,22.25
Strawberries,08/16/2021,14
Blackberries,08/13/2021,27.125
Blackberries,08/13/2021,31
Blueberries,08/13/2021,11
Blueberries,08/13/2021,20
Blueberries,08/13/2021,22.625
Blueberries,08/13/2021,9
Blueberries,08/13/2021,18.5
Raspberries,08/13/2021,26.5
Raspberries,08/13/2021,36
Strawberries,08/13/2021,22.25
Strawberries,08/13/2021,14
Strawberries,08/13/2021,29.75
Blackberries,08/12/2021,27.125
Blackberries,08/12/2021,31
Blueberries,08/12/2021,22.625
Blueberries,08/12/2021,20
Blueberries,08/12/2021,9.5
Blueberries,08/12/2021,9
Blueberries,08/12/2021,18.5
Raspberries,08/12/2021,35
Raspberries,08/12/2021,26.5
Strawberries,08/12/2021,9
Strawberries,08/12/2021,22.25
Strawberries,08/12/2021,28.75
Blackberries,08/11/2021,31
Blackberries,08/11/2021,27.125
Blueberries,08/11/2021,22.625
Blueberries,08/11/2021,9.5
Blueberries,08/11/2021,20
Blueberries,08/11/2021,9
Blueberries,08/11/2021,18.5
Raspberries,08/11/2021,35
Raspberries,08/11/2021,26.5
Strawberries,08/11/2021,28.75
Strawberries,08/11/2021,22.25
Strawberries,08/11/2021,9
Blackberries,08/10/2021,31
Blackberries,08/10/2021,27.125
Blueberries,08/10/2021,9.5
Blueberries,08/10/2021,22.625
Blueberries,08/10/2021,20
Blueberries,08/10/2021,18.5
Blueberries,08/10/2021,9
Raspberries,08/10/2021,26.5
Raspberries,08/10/2021,35
Strawberries,08/10/2021,28.75
Strawberries,08/10/2021,22.25
Strawberries,08/10/2021,9
Blackberries,08/09/2021,31
Blackberries,08/09/2021,27.125
Blueberries,08/09/2021,10
Blueberries,08/09/2021,20
Blueberries,08/09/2021,23.125
Blueberries,08/09/2021,9
Blueberries,08/09/2021,18.5
Raspberries,08/09/2021,26.5
Raspberries,08/09/2021,35
Strawberries,08/09/2021,9
Strawberries,08/09/2021,22.25
Strawberries,08/09/2021,27.75
Blackberries,08/06/2021,31
Blackberries,08/06/2021,27.125
Blueberries,08/06/2021,23
Blueberries,08/06/2021,20
Blueberries,08/06/2021,13
Blueberries,08/06/2021,10
Blueberries,08/06/2021,18.5
Blueberries,08/06/2021,9
Raspberries,08/06/2021,26.5
Raspberries,08/06/2021,32
Strawberries,08/06/2021,25.75
Strawberries,08/06/2021,9
Strawberries,08/06/2021,22.25
Blackberries,08/05/2021,27.125
Blackberries,08/05/2021,31
Blueberries,08/05/2021,23
Blueberries,08/05/2021,18.25
Blueberries,08/05/2021,20
Blueberries,08/05/2021,10
Blueberries,08/05/2021,9
Blueberries,08/05/2021,18.5
Raspberries,08/05/2021,32
Raspberries,08/05/2021,26.5
Strawberries,08/05/2021,9
Strawberries,08/05/2021,22.25
Strawberries,08/05/2021,25.75
Blackberries,08/04/2021,31
Blackberries,08/04/2021,27.125
Blueberries,08/04/2021,10
Blueberries,08/04/2021,18.25
Blueberries,08/04/2021,20
Blueberries,08/04/2021,23
Blueberries,08/04/2021,18.5
Blueberries,08/04/2021,9
Raspberries,08/04/2021,32
Raspberries,08/04/2021,26.5
Strawberries,08/04/2021,9
Strawberries,08/04/2021,22.25
Strawberries,08/04/2021,25.75
Blackberries,08/03/2021,27.125
Blackberries,08/03/2021,31
Blueberries,08/03/2021,27.5
Blueberries,08/03/2021,33
Blueberries,08/03/2021,18.25
Blueberries,08/03/2021,27
Blueberries,08/03/2021,10
Blueberries,08/03/2021,18.5
Raspberries,08/03/2021,32
Raspberries,08/03/2021,26.5
Strawberries,08/03/2021,25.75
Strawberries,08/03/2021,9
Strawberries,08/03/2021,22.25
Blackberries,08/02/2021,27.125
Blackberries,08/02/2021,31
Blueberries,08/02/2021,33
Blueberries,08/02/2021,18.25
Blueberries,08/02/2021,27
Blueberries,08/02/2021,27.5
Raspberries,08/02/2021,26.5
Raspberries,08/02/2021,32
Strawberries,08/02/2021,25.25
Strawberries,08/02/2021,22.5
Blackberries,07/30/2021,27.125
Blackberries,07/30/2021,31
Blueberries,07/30/2021,33
Blueberries,07/30/2021,27
Blueberries,07/30/2021,27.5
Blueberries,07/30/2021,18.25
Raspberries,07/30/2021,32
Raspberries,07/30/2021,26.5
Strawberries,07/30/2021,22.5
Strawberries,07/30/2021,25.5
Blackberries,07/29/2021,26
Blackberries,07/29/2021,31
Blueberries,07/29/2021,33
Blueberries,07/29/2021,18.25
Blueberries,07/29/2021,27.5
Blueberries,07/29/2021,27
Raspberries,07/29/2021,32
Raspberries,07/29/2021,26.5
Strawberries,07/29/2021,9
Strawberries,07/29/2021,25.5
Strawberries,07/29/2021,22.5
Blackberries,07/28/2021,31
Blackberries,07/28/2021,26
Blueberries,07/28/2021,27
Blueberries,07/28/2021,18.25
Blueberries,07/28/2021,33
Blueberries,07/28/2021,27.5
Raspberries,07/28/2021,26.5
Raspberries,07/28/2021,32
Strawberries,07/28/2021,25.5
Strawberries,07/28/2021,9
Strawberries,07/28/2021,22.5
Blackberries,07/27/2021,26
Blackberries,07/27/2021,31
Blueberries,07/27/2021,27
Blueberries,07/27/2021,30.5
Blueberries,07/27/2021,33
Blueberries,07/27/2021,24
Blueberries,07/27/2021,27.5
Raspberries,07/27/2021,26.5
Raspberries,07/27/2021,32
Strawberries,07/27/2021,22.5
Strawberries,07/27/2021,9
Strawberries,07/27/2021,25.5
Blackberries,07/26/2021,31
Blackberries,07/26/2021,26
Blueberries,07/26/2021,33
Blueberries,07/26/2021,27
Blueberries,07/26/2021,24
Blueberries,07/26/2021,27.5
Blueberries,07/26/2021,30.5
Raspberries,07/26/2021,32
Raspberries,07/26/2021,26.5
Strawberries,07/26/2021,9
Strawberries,07/26/2021,22.5
Strawberries,07/26/2021,25.5
Blackberries,07/23/2021,31
Blackberries,07/23/2021,26
Blueberries,07/23/2021,27
Blueberries,07/23/2021,24
Blueberries,07/23/2021,27.5
Blueberries,07/23/2021,33
Blueberries,07/23/2021,30.5
Raspberries,07/23/2021,32
Raspberries,07/23/2021,26.5
Strawberries,07/23/2021,9
Strawberries,07/23/2021,22.5
Strawberries,07/23/2021,25.5
Blackberries,07/22/2021,27
Blueberries,07/22/2021,28
Blueberries,07/22/2021,26
Blueberries,07/22/2021,28.5
Blueberries,07/22/2021,#¡DIV/0!
Raspberries,07/22/2021,26.5
Raspberries,07/22/2021,32
Strawberries,07/22/2021,23
Strawberries,07/22/2021,9
Strawberries,07/22/2021,25.5
Blackberries,07/21/2021,25
Blackberries,07/21/2021,22
Blueberries,07/21/2021,24.5
Blueberries,07/21/2021,25
Blueberries,07/21/2021,24.5
Blueberries,07/21/2021,26
Blueberries,07/21/2021,11
Raspberries,07/21/2021,26.5
Raspberries,07/21/2021,32
Strawberries,07/21/2021,9
Strawberries,07/21/2021,23
Strawberries,07/21/2021,25.5
Blackberries,07/20/2021,25
Blackberries,07/20/2021,22
Blueberries,07/20/2021,24
Blueberries,07/20/2021,24.5
Blueberries,07/20/2021,23.5
Blueberries,07/20/2021,26
Blueberries,07/20/2021,11
Blueberries,07/20/2021,22
Raspberries,07/20/2021,26.5
Raspberries,07/20/2021,31
Strawberries,07/20/2021,#¡DIV/0!
Strawberries,07/20/2021,23.5
Blackberries,07/19/2021,25
Blackberries,07/19/2021,22
Blueberries,07/19/2021,23.5
Blueberries,07/19/2021,24
Blueberries,07/19/2021,22
Blueberries,07/19/2021,24.5
Blueberries,07/19/2021,26
Blueberries,07/19/2021,11
Raspberries,07/19/2021,31
Raspberries,07/19/2021,26.5
Strawberries,07/19/2021,23.5
Strawberries,07/19/2021,#¡DIV/0!
Blackberries,07/16/2021,24
Blackberries,07/16/2021,11
Blackberries,07/16/2021,26.5
Blueberries,07/16/2021,26
Blueberries,07/16/2021,23
Blueberries,07/16/2021,26
Blueberries,07/16/2021,26
Blueberries,07/16/2021,11
Blueberries,07/16/2021,26
Raspberries,07/16/2021,32.5
Raspberries,07/16/2021,26.5
Strawberries,07/16/2021,23
Strawberries,07/16/2021,#¡DIV/0!
Strawberries,07/16/2021,16.5
Blackberries,07/15/2021,11
Blackberries,07/15/2021,26.5
Blackberries,07/15/2021,24
Blueberries,07/15/2021,23
Blueberries,07/15/2021,26
Blueberries,07/15/2021,26
Blueberries,07/15/2021,26
Blueberries,07/15/2021,11
Blueberries,07/15/2021,26
Raspberries,07/15/2021,26.5
Raspberries,07/15/2021,32.5
Strawberries,07/15/2021,23
Strawberries,07/15/2021,#¡DIV/0!
Strawberries,07/15/2021,16.5
Blackberries,07/14/2021,24
Blackberries,07/14/2021,11
Blackberries,07/14/2021,26.5
Blueberries,07/14/2021,26
Blueberries,07/14/2021,26
Blueberries,07/14/2021,23
Blueberries,07/14/2021,11
Blueberries,07/14/2021,26
Blueberries,07/14/2021,26
Raspberries,07/14/2021,32.5
Raspberries,07/14/2021,26.5
Strawberries,07/14/2021,#¡DIV/0!
Strawberries,07/14/2021,23
Strawberries,07/14/2021,12
Blackberries,07/13/2021,11
Blackberries,07/13/2021,24
Blackberries,07/13/2021,27
Blueberries,07/13/2021,26
Blueberries,07/13/2021,11
Blueberries,07/13/2021,26
Blueberries,07/13/2021,23
Blueberries,07/13/2021,27.5
Blueberries,07/13/2021,26.75
Raspberries,07/13/2021,35
Raspberries,07/13/2021,26.5
Raspberries,07/13/2021,8
Strawberries,07/13/2021,12
Strawberries,07/13/2021,17.5
Strawberries,07/13/2021,20
Blackberries,07/12/2021,11
Blackberries,07/12/2021,24
Blackberries,07/12/2021,27
Blueberries,07/12/2021,26
Blueberries,07/12/2021,11
Blueberries,07/12/2021,23
Blueberries,07/12/2021,26.75
Blueberries,07/12/2021,25
Blueberries,07/12/2021,27.5
Raspberries,07/12/2021,26.5
Raspberries,07/12/2021,35
Raspberries,07/12/2021,8
Strawberries,07/12/2021,18.75
Strawberries,07/12/2021,22.5
Strawberries,07/12/2021,11.75
Blackberries,07/09/2021,24
Blackberries,07/09/2021,11
Blackberries,07/09/2021,27
Blueberries,07/09/2021,23
Blueberries,07/09/2021,17
Blueberries,07/09/2021,26.75
Blueberries,07/09/2021,25
Blueberries,07/09/2021,11
Blueberries,07/09/2021,11
Raspberries,07/09/2021,26.5
Raspberries,07/09/2021,35
Raspberries,07/09/2021,8
Strawberries,07/09/2021,11.75
Strawberries,07/09/2021,23.75
Strawberries,07/09/2021,18.75
Blackberries,07/08/2021,11
Blackberries,07/08/2021,24
Blackberries,07/08/2021,27
Blueberries,07/08/2021,26.75
Blueberries,07/08/2021,11
Blueberries,07/08/2021,17
Blueberries,07/08/2021,11
Blueberries,07/08/2021,25
Blueberries,07/08/2021,23
Raspberries,07/08/2021,8
Raspberries,07/08/2021,35
Raspberries,07/08/2021,26.5
Strawberries,07/08/2021,23.75
Strawberries,07/08/2021,11.75
Strawberries,07/08/2021,18.75
Blackberries,07/07/2021,11
Blackberries,07/07/2021,27
Blackberries,07/07/2021,24
Blueberries,07/07/2021,26.75
Blueberries,07/07/2021,25
Blueberries,07/07/2021,23
Blueberries,07/07/2021,17
Raspberries,07/07/2021,26.5
Raspberries,07/07/2021,35
